node_id	type	name	identifier
112	microbiome	Erwinia herbicola	Erwinia herbicola
113	enzyme	herbicolin A	herbicolin A
114	substrate	glutamic acid	glutamic acid
115	microbiome	Bacillus subtilis	Bacillus subtilis
116	enzyme	endo-β-1,4-glucanase	endo-β-1,4-glucanase
117	substrate	carboxymethylcellulose	carboxymethylcellulose
118	enzyme	CEL1a	CEL1a
119	enzyme	CEL1b	CEL1b
120	enzyme	CBH1	CBH1
121	substrate	D-galactose	D-galactose
122	enzyme	methylcitrate dehydratase	methylcitrate dehydratase
123	enzyme	aconitase	aconitase
124	substrate	(2S,3S)-methylcitrate	(2S,3S)-methylcitrate
125	substrate	(2R,3S)-2-methylisocitrate	(2R,3S)-2-methylisocitrate
126	substrate	cis-aconitate	cis-aconitate
127	enzyme	fumarase B	fumarase B
128	enzyme	fumarase A	fumarase A
129	substrate	D-tartrate	D-tartrate
130	enzyme	phosphoketolase	phosphoketolase
131	enzyme	glucose-6-phosphate dehydrogenase	glucose-6-phosphate dehydrogenase
132	enzyme	glycerol-1-phosphatase	glycerol-1-phosphatase
133	enzyme	phosphotransacetylase	phosphotransacetylase
134	substrate	acetyl phosphate	acetyl phosphate
135	enzyme	ALA synthase	ALA synthase
136	substrate	glycine	glycine
137	substrate	succinate	succinate
138	enzyme	β1,3-N-acetylglucosaminyltransferase	β1,3-N-acetylglucosaminyltransferase
139	enzyme	β1,3-galactosyltransferase	β1,3-galactosyltransferase
140	enzyme	β-N-acetylhexosaminidase	β-N-acetylhexosaminidase
141	substrate	LNTri II	LNTri II
142	enzyme	tannase	tannase
143	microbiome	Penicillium montanense	Penicillium montanense
144	microbiome	Klebsiella pneumoniae	Klebsiella pneumoniae
145	substrate	hydrolysable tannins	hydrolysable tannins
146	substrate	tannic acid	tannic acid
147	enzyme	AsUGT	AsUGT
148	enzyme	CAR	CAR
149	enzyme	PPTcg-1	PPTcg-1
150	enzyme	UbiC	UbiC
151	microbiome	Saccharomyces cerevisiae | ARO4 K229L	Saccharomyces cerevisiae | ARO4 K229L
152	substrate	4-hydroxybenzyl alcohol	4-hydroxybenzyl alcohol
153	enzyme	Trichoderma reesei Cel5A	Trichoderma reesei Cel5A
154	substrate	4-MUC	4-MUC
155	substrate	CMC	CMC
156	substrate	filter paper	filter paper
157	enzyme	ethanol dehydrogenase	ethanol dehydrogenase
158	substrate	mannose	mannose
159	microbiome	Rhizopus oryzae	Rhizopus oryzae
160	enzyme	lactic acid	lactic acid
161	enzyme	ADH2	ADH2
162	enzyme	FDH1	FDH1
163	substrate	methanol	methanol
164	substrate	formate	formate
165	microbiome	Lactococcus lactis subsp. lactis NCK203	Lactococcus lactis subsp. lactis NCK203
166	enzyme	CI repressor	CI repressor
167	enzyme	truncated CI	truncated CI
168	enzyme	2,3-butanediol dehydrogenase	2,3-butanediol dehydrogenase
169	enzyme	NADH-dependent Bdh1	NADH-dependent Bdh1
170	enzyme	NADPH-dependent Bdh1	NADPH-dependent Bdh1
171	substrate	acetoin	acetoin
172	enzyme	xylanase	xylanase
173	enzyme	mannanase	mannanase
174	enzyme	β-glucosidase	β-glucosidase
175	enzyme	α-galactosidase	α-galactosidase
176	substrate	cellobiose	cellobiose
177	substrate	xylan	xylan
178	microbiome	Streptococcus bovis	Streptococcus bovis
179	enzyme	lactate dehydrogenase	lactate dehydrogenase
180	enzyme	␣-amylase	␣-amylase
181	substrate	starch	starch
182	enzyme	𝛽-galactosidase	𝛽-galactosidase
183	enzyme	α-amylase	α-amylase
184	enzyme	glucoamylase	glucoamylase
185	enzyme	methionine synthase	methionine synthase
186	enzyme	TRAIL	TRAIL
187	enzyme	BMP2	BMP2
188	enzyme	hemicellulase	hemicellulase
189	enzyme	beta-glucosidase	beta-glucosidase
190	enzyme	cellobiohydrolase	cellobiohydrolase
191	enzyme	endoglucanase	endoglucanase
192	enzyme	beta-xylosidase	beta-xylosidase
193	enzyme	endoxylanase	endoxylanase
194	microbiome	Metschnikowia pulcherrima	Metschnikowia pulcherrima
195	enzyme	invertase	invertase
196	microbiome	Pichia kluyveri	Pichia kluyveri
197	microbiome	Kluyveromyces thermotolerans	Kluyveromyces thermotolerans
198	substrate	sucrose	sucrose
199	substrate	p-nitrophenyl-β-D-glucopyranoside	p-nitrophenyl-β-D-glucopyranoside
200	enzyme	laccase	laccase
201	substrate	coniferyl aldehyde	coniferyl aldehyde
202	microbiome	Bacillus sp. HR03	Bacillus sp. HR03
203	microbiome	Escherichia coli BL-21(DE3)	Escherichia coli BL-21(DE3)
204	substrate	syringaldazine	syringaldazine
205	substrate	phosphoric acid swollen cellulose	phosphoric acid swollen cellulose
206	enzyme	glutamate decarboxylase	glutamate decarboxylase
207	microbiome	Saccharomyces uvarum	Saccharomyces uvarum
208	enzyme	glycerol kinase	glycerol kinase
209	substrate	glutamate	glutamate
210	substrate	glycerol	glycerol
211	enzyme	acetolactate synthase	acetolactate synthase
212	enzyme	acetolactate decarboxylase	acetolactate decarboxylase
213	enzyme	2,3-BD dehydrogenase	2,3-BD dehydrogenase
214	substrate	acetolactate	acetolactate
215	microbiome	Clostridium acetobutylicum	Clostridium acetobutylicum
216	enzyme	formate dehydrogenase	formate dehydrogenase
217	substrate	formic acid	formic acid
218	enzyme	proteolytic enzymes	proteolytic enzymes
219	enzyme	xylanolytic enzymes	xylanolytic enzymes
220	substrate	hydroxytyrosol	hydroxytyrosol
221	substrate	tyrosol	tyrosol
222	enzyme	trypsin Y	trypsin Y
223	substrate	N-CBZ-Gly-Pro-Arg-pNA	N-CBZ-Gly-Pro-Arg-pNA
224	substrate	suc-Ala-Ala-Pro-Phe-pNA	suc-Ala-Ala-Pro-Phe-pNA
225	microbiome	Aspergillus oryzae	Aspergillus oryzae
226	enzyme	β-xylosidase	β-xylosidase
227	substrate	xylobiose	xylobiose
228	microbiome	Citrobacter sp. SG	Citrobacter sp. SG
229	enzyme	[NiFe]-hydrogenase 2	[NiFe]-hydrogenase 2
230	microbiome	Escherichia coli BL21-CodonPlus TM (DE3)	Escherichia coli BL21-CodonPlus TM (DE3)
231	microbiome	Neocallimastix patriciarum	Neocallimastix patriciarum
232	enzyme	carboxymethylcellulase	carboxymethylcellulase
233	enzyme	tryptophan deaminase	tryptophan deaminase
234	enzyme	alkyl hydroperoxide reductase	alkyl hydroperoxide reductase
235	enzyme	isocitrate lyase	isocitrate lyase
236	enzyme	phosphotransferase system components ManX	phosphotransferase system components ManX
237	enzyme	phosphotransferase system components PtsH	phosphotransferase system components PtsH
238	enzyme	galactitol fermentation enzyme GatY	galactitol fermentation enzyme GatY
239	enzyme	periplasmic maltose binding protein MalE	periplasmic maltose binding protein MalE
240	substrate	amino acids	amino acids
241	substrate	oxidizing intermediates	oxidizing intermediates
242	substrate	fatty acids	fatty acids
243	substrate	galactitol	galactitol
244	substrate	maltose	maltose
245	enzyme	avicelase	avicelase
246	enzyme	CMCase	CMCase
247	enzyme	cellobiase	cellobiase
248	substrate	DM	DM
249	substrate	NDF	NDF
250	substrate	ADF	ADF
251	enzyme	P450sca-2	P450sca-2
252	substrate	mevastatin	mevastatin
253	enzyme	Aaβ-agarase	Aaβ-agarase
254	substrate	agarose	agarose
255	microbiome	Lactobacillus sanfranciscensis	Lactobacillus sanfranciscensis
256	enzyme	fructosyltransferase	fructosyltransferase
257	enzyme	xylanase II	xylanase II
258	microbiome	Pseudomonas entomophila	Pseudomonas entomophila
259	enzyme	3-hydroxyacyl-CoA dehydrogenase	3-hydroxyacyl-CoA dehydrogenase
260	enzyme	3-ketoacyl-CoA thiolase	3-ketoacyl-CoA thiolase
261	enzyme	acetyl-CoA acetyltransferase	acetyl-CoA acetyltransferase
262	substrate	3-hydroxyhexanoate	3-hydroxyhexanoate
263	substrate	3-hydroxyoctanoate	3-hydroxyoctanoate
264	substrate	3-hydroxydecanoate	3-hydroxydecanoate
265	substrate	3-hydroxydodecanoate	3-hydroxydodecanoate
266	enzyme	thiolase	thiolase
267	enzyme	3-hydroxyacylCoA dehydrogenase/enoyl-CoA hydratase	3-hydroxyacylCoA dehydrogenase/enoyl-CoA hydratase
268	enzyme	transenoyl-CoA reductase	transenoyl-CoA reductase
269	enzyme	thioesterase	thioesterase
270	enzyme	acetyl-CoA synthetase	acetyl-CoA synthetase
271	substrate	medium-chain fatty acids	medium-chain fatty acids
272	enzyme	rVpCsgG	rVpCsgG
273	enzyme	sfGFP	sfGFP
274	enzyme	tryptophan indole-lyase	tryptophan indole-lyase
275	substrate	L-Trp	L-Trp
276	substrate	S-ethyl-L-cysteine	S-ethyl-L-cysteine
277	microbiome	Kluyveromyces marxianus	Kluyveromyces marxianus
278	enzyme	β-galactosidase	β-galactosidase
279	microbiome	Pichia kudriavzevii	Pichia kudriavzevii
280	enzyme	protease	protease
281	enzyme	lipase	lipase
282	substrate	casein	casein
283	substrate	tributyrin	tributyrin
284	substrate	l-glutamate	l-glutamate
285	enzyme	GH74 endoglucanase	GH74 endoglucanase
286	enzyme	GH7 cellobiohydrolase I	GH7 cellobiohydrolase I
287	enzyme	GH6 cellobiohydrolase II	GH6 cellobiohydrolase II
288	enzyme	GH3 β-glucosidase Cel3b	GH3 β-glucosidase Cel3b
289	enzyme	GH5 endoglucanase EG-1	GH5 endoglucanase EG-1
290	enzyme	GH61 endoglucanase-4	GH61 endoglucanase-4
291	enzyme	GH30 endo-1,6-β-D-glucanase	GH30 endo-1,6-β-D-glucanase
292	enzyme	GH45 endoglucanase V	GH45 endoglucanase V
293	enzyme	GH74 endoglucanase Cel74a	GH74 endoglucanase Cel74a
294	enzyme	nicotinamide riboside kinase	nicotinamide riboside kinase
295	enzyme	adenosine kinase	adenosine kinase
296	enzyme	6-phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase
297	substrate	nicotinamide mononucleotide	nicotinamide mononucleotide
298	substrate	adenosine	adenosine
299	substrate	gluconate 6-phosphate	gluconate 6-phosphate
300	microbiome	Sorangium cellulosum	Sorangium cellulosum
301	enzyme	epothilone	epothilone
302	microbiome	Myxococcus xanthus	Myxococcus xanthus
303	substrate	ammonium	ammonium
304	substrate	phosphate	phosphate
305	enzyme	GRE3	GRE3
306	enzyme	trypsin-like serine protease	trypsin-like serine protease
307	enzyme	aspartic protease	aspartic protease
308	substrate	cellulase	cellulase
309	substrate	CBH1	CBH1
310	substrate	aspartic protease	aspartic protease
311	enzyme	FabH	FabH
312	enzyme	'TesA	'TesA
313	enzyme	FadR	FadR
314	enzyme	IlvA	IlvA
315	enzyme	IlvGM	IlvGM
316	enzyme	IlvCD	IlvCD
317	enzyme	ThrABC	ThrABC
318	substrate	2-methylbutyryl-CoA	2-methylbutyryl-CoA
319	microbiome	Pleurotus eryngii	Pleurotus eryngii
320	enzyme	Mn-oxidizing peroxidases	Mn-oxidizing peroxidases
321	substrate	phenol red	phenol red
322	enzyme	amyloglucosidase	amyloglucosidase
323	enzyme	aminotransferase	aminotransferase
324	substrate	branched-chain amino acids	branched-chain amino acids
325	substrate	acetate ester	acetate ester
326	microbiome	Nocardiopsis alba	Nocardiopsis alba
327	enzyme	β-gal	β-gal
328	enzyme	β-gluc	β-gluc
329	enzyme	Penicillin G Acylase	Penicillin G Acylase
330	enzyme	glutathione	glutathione
331	enzyme	pyruvate carboxylase	pyruvate carboxylase
332	enzyme	TPS	TPS
333	microbiome	Saccharomyces cerevisiae | ATH	Saccharomyces cerevisiae | ATH
334	enzyme	SOD	SOD
335	substrate	trehalose	trehalose
336	enzyme	acid protease	acid protease
337	substrate	phytic acid	phytic acid
338	enzyme	pyruvate dehydrogenase	pyruvate dehydrogenase
339	enzyme	ATP-dependent citrate lyase	ATP-dependent citrate lyase
340	substrate	acetyl-CoA	acetyl-CoA
341	microbiome	Acremonium chrysogenum	Acremonium chrysogenum
342	enzyme	cephalosporin C	cephalosporin C
343	substrate	linoleic acid	linoleic acid
344	substrate	oleic acid	oleic acid
345	enzyme	hydrolytic enzymes	hydrolytic enzymes
346	substrate	ethanol	ethanol
347	microbiome	Acinetobacter radioresistens	Acinetobacter radioresistens
348	substrate	n-hexadecane	n-hexadecane
349	enzyme	8,11-LDS	8,11-LDS
350	substrate	a-linolenic acid	a-linolenic acid
351	substrate	palmitoleic acid	palmitoleic acid
352	enzyme	Propionyl-CoA carboxylase	Propionyl-CoA carboxylase
353	substrate	propionyl-CoA	propionyl-CoA
354	enzyme	xylose isomerase	xylose isomerase
355	microbiome	Fusarium solani	Fusarium solani
356	enzyme	vitexin	vitexin
357	substrate	ammonium sulfate	ammonium sulfate
358	enzyme	AAT16	AAT16
359	enzyme	AAT16-S99G	AAT16-S99G
360	enzyme	AAT16-L178F	AAT16-L178F
361	substrate	octanoyl-CoA	octanoyl-CoA
362	enzyme	geraniol synthase	geraniol synthase
363	enzyme	alcohol acyltransferase	alcohol acyltransferase
364	enzyme	isoprenoid diphosphate isomerase	isoprenoid diphosphate isomerase
365	enzyme	RNA polymerase III repressor	RNA polymerase III repressor
366	enzyme	truncated HMG-CoA reductase	truncated HMG-CoA reductase
367	substrate	geranyl diphosphate	geranyl diphosphate
368	substrate	isopentenyl diphosphate	isopentenyl diphosphate
369	substrate	dimethylallyl diphosphate	dimethylallyl diphosphate
370	enzyme	glycerol dehydrogenase	glycerol dehydrogenase
371	enzyme	dihydroxyacetone kinase	dihydroxyacetone kinase
372	substrate	dihydroxyacetone	dihydroxyacetone
373	enzyme	NDH-1	NDH-1
374	enzyme	NDH-2	NDH-2
375	enzyme	bo-type oxidase	bo-type oxidase
376	enzyme	bd-type oxidase	bd-type oxidase
377	substrate	NADH	NADH
378	substrate	ubiquinol	ubiquinol
379	microbiome	Pichia pastoris	Pichia pastoris
380	enzyme	hirudin	hirudin
381	substrate	fibrinogen	fibrinogen
382	microbiome	Lipomyces kononenkoae	Lipomyces kononenkoae
383	substrate	dextrin	dextrin
384	substrate	amylose	amylose
385	enzyme	Pex11p	Pex11p
386	enzyme	Pex34p	Pex34p
387	enzyme	Atg36p	Atg36p
388	microbiome	Saccharomyces fragilis	Saccharomyces fragilis
389	microbiome	Aspergillus spp.	Aspergillus spp.
390	substrate	o-nitrophenyl-β-D-galactopyranoside	o-nitrophenyl-β-D-galactopyranoside
391	microbiome	Lasiodiplodia theobromae	Lasiodiplodia theobromae
392	enzyme	lasiodiplodan	lasiodiplodan
393	substrate	D-glucose	D-glucose
394	substrate	sophorose	sophorose
395	substrate	Avicel	Avicel
396	enzyme	chitosanase	chitosanase
397	substrate	chitosan	chitosan
398	enzyme	b-amyrin synthase	b-amyrin synthase
399	enzyme	squalene monooxygenase	squalene monooxygenase
400	enzyme	IPP isomerase	IPP isomerase
401	enzyme	FPP	FPP
402	enzyme	squalene synthase	squalene synthase
403	substrate	squalene	squalene
404	substrate	2,3-oxidosqualene	2,3-oxidosqualene
405	enzyme	β(1, 3)-glucan synthase	β(1, 3)-glucan synthase
406	enzyme	eGFP	eGFP
407	enzyme	MNEI	MNEI
408	microbiome	Aspergillus awamori	Aspergillus awamori
409	substrate	platycoside E	platycoside E
410	substrate	platycodin D3	platycodin D3
411	substrate	platycodin D	platycodin D
412	microbiome	Bacillus spp.	Bacillus spp.
413	enzyme	amylase	amylase
414	enzyme	crtEXYIB	crtEXYIB
415	enzyme	Dxs	Dxs
416	enzyme	Idi	Idi
417	enzyme	glucose 6-phosphate dehydrogenase	glucose 6-phosphate dehydrogenase
418	enzyme	transketolase I	transketolase I
419	enzyme	transaldolase B	transaldolase B
420	enzyme	citrate synthase	citrate synthase
421	enzyme	aconitase A	aconitase A
422	enzyme	isocitrate dehydrogenase	isocitrate dehydrogenase
423	enzyme	a-ketoglutarate dehydrogenase	a-ketoglutarate dehydrogenase
424	enzyme	succinyl-CoA synthetase	succinyl-CoA synthetase
425	enzyme	succinate dehydrogenase	succinate dehydrogenase
426	enzyme	fumarase C	fumarase C
427	enzyme	malate dehydrogenase	malate dehydrogenase
428	enzyme	NADH:ubiquinone oxidoreductase I	NADH:ubiquinone oxidoreductase I
429	enzyme	cytochrome bo oxidase	cytochrome bo oxidase
430	enzyme	cytochrome bd-I oxidase	cytochrome bd-I oxidase
431	enzyme	ATP synthase	ATP synthase
432	substrate	b-carotene	b-carotene
433	substrate	IPP	IPP
434	substrate	DMAPP	DMAPP
435	substrate	ribose 5-phosphate	ribose 5-phosphate
436	substrate	sedoheptulose 7-phosphate	sedoheptulose 7-phosphate
437	substrate	citrate	citrate
438	substrate	isocitrate	isocitrate
439	substrate	a-ketoglutarate	a-ketoglutarate
440	substrate	succinyl-CoA	succinyl-CoA
441	substrate	fumarate	fumarate
442	substrate	malate	malate
443	substrate	ADP	ADP
444	enzyme	UshA	UshA
445	substrate	NAD	NAD
446	substrate	AMP	AMP
447	substrate	NMN	NMN
448	microbiome	Sulfolobus solfataricus	Sulfolobus solfataricus
449	enzyme	SsαGly	SsαGly
450	enzyme	SsβGly	SsβGly
451	microbiome	Candida glycerinogenes	Candida glycerinogenes
452	enzyme	glycerol-3-phosphate dehydrogenase	glycerol-3-phosphate dehydrogenase
453	enzyme	LDH	LDH
454	substrate	phenylpyruvate	phenylpyruvate
455	microbiome	Acetobacter pasteurianus	Acetobacter pasteurianus
456	substrate	acetaldehyde	acetaldehyde
457	substrate	propionaldehyde	propionaldehyde
458	enzyme	endo-inulinase	endo-inulinase
459	enzyme	exo-inulinase	exo-inulinase
460	substrate	inulin	inulin
461	enzyme	cellobiohydrolase I	cellobiohydrolase I
462	substrate	p-nitrophenyl-b-D-cellobioside	p-nitrophenyl-b-D-cellobioside
463	microbiome	Clostridium beijerinckii	Clostridium beijerinckii
464	substrate	beechwood xylan	beechwood xylan
465	enzyme	selenoproteins	selenoproteins
466	enzyme	cellulases	cellulases
467	enzyme	hemicellulases	hemicellulases
468	enzyme	proteases/peptidases	proteases/peptidases
469	enzyme	cell-wall-protein	cell-wall-protein
470	enzyme	lipases	lipases
471	enzyme	catalase	catalase
472	enzyme	glycoside hydrolases	glycoside hydrolases
473	enzyme	superoxide dismutase	superoxide dismutase
474	enzyme	glutaredoxin	glutaredoxin
475	enzyme	thioredoxin	thioredoxin
476	enzyme	glutathione peroxidase	glutathione peroxidase
477	substrate	hydrogen peroxide	hydrogen peroxide
478	substrate	reactive oxygen species	reactive oxygen species
479	substrate	glutathione	glutathione
480	substrate	NADP+	NADP+
481	enzyme	rosmarinic acid synthase	rosmarinic acid synthase
482	enzyme	tyrosine aminotransferase	tyrosine aminotransferase
483	enzyme	hydroxyphenylpyruvate reductase	hydroxyphenylpyruvate reductase
484	enzyme	CYP98A14 hydroxylase	CYP98A14 hydroxylase
485	substrate	4-HPL	4-HPL
486	substrate	3,4-DHPL	3,4-DHPL
487	enzyme	exoglucanase	exoglucanase
488	substrate	lignocellulosic biomass	lignocellulosic biomass
489	microbiome	Streptomyces clavuligerus	Streptomyces clavuligerus
490	enzyme	arginase	arginase
491	enzyme	Flo1p	Flo1p
492	enzyme	Flo5p	Flo5p
493	enzyme	Flo11p	Flo11p
494	enzyme	TetA	TetA
495	enzyme	AcrAB-TolC	AcrAB-TolC
496	substrate	tetracycline	tetracycline
497	enzyme	carboxylesterase B1	carboxylesterase B1
498	substrate	organophosphate esters	organophosphate esters
499	substrate	malathion	malathion
500	microbiome	Lichtheimia ramosa	Lichtheimia ramosa
501	substrate	cyanogenic glucosides	cyanogenic glucosides
502	microbiome	Candida tropicalis	Candida tropicalis
503	enzyme	acetaldehyde dehydrogenase	acetaldehyde dehydrogenase
504	enzyme	EEB1	EEB1
505	enzyme	EHT1	EHT1
506	substrate	ethyl esters	ethyl esters
507	enzyme	Snf1	Snf1
508	enzyme	Gln3	Gln3
509	microbiome	Actinoplanes deccanensis	Actinoplanes deccanensis
510	enzyme	lipiarmycin	lipiarmycin
511	substrate	glucose-lactose mixture	glucose-lactose mixture
512	microbiome	Streptomyces venezuelae	Streptomyces venezuelae
513	enzyme	nitrate reductase	nitrate reductase
514	enzyme	arylamine synthetase	arylamine synthetase
515	enzyme	anthranilate synthetase	anthranilate synthetase
516	substrate	nitrate	nitrate
517	microbiome	Lactobacillus kefiranofaciens	Lactobacillus kefiranofaciens
518	enzyme	exopolysaccharides	exopolysaccharides
519	enzyme	β-D-galactosidase	β-D-galactosidase
520	enzyme	lactase	lactase
521	enzyme	fructanases	fructanases
522	substrate	fructans	fructans
523	microbiome	Phialocephala fortinii	Phialocephala fortinii
524	enzyme	salidroside	salidroside
525	enzyme	p-tyrosol	p-tyrosol
526	substrate	salidroside	salidroside
527	substrate	p-tyrosol	p-tyrosol
528	enzyme	tyrosinase	tyrosinase
529	microbiome	Agaricus bisporus	Agaricus bisporus
530	substrate	milk proteins	milk proteins
531	enzyme	serine dehydratase	serine dehydratase
532	enzyme	serine deaminase	serine deaminase
533	enzyme	glutamine synthetase	glutamine synthetase
534	enzyme	IMP dehydrogenase	IMP dehydrogenase
535	enzyme	GMP synthetase	GMP synthetase
536	enzyme	adenylosuccinate synthetase	adenylosuccinate synthetase
537	enzyme	carbamoylphosphate synthetase	carbamoylphosphate synthetase
538	enzyme	aspartate carbamoyltransferase	aspartate carbamoyltransferase
539	enzyme	dihydroorotase	dihydroorotase
540	enzyme	dihydroorotate dehydrogenase	dihydroorotate dehydrogenase
541	enzyme	orotate phosphoribosyltransferase	orotate phosphoribosyltransferase
542	enzyme	OMP decarboxylase	OMP decarboxylase
543	enzyme	UMP kinase	UMP kinase
544	enzyme	CTP synthetase	CTP synthetase
545	substrate	inosine monophosphate	inosine monophosphate
546	substrate	guanosine monophosphate	guanosine monophosphate
547	substrate	adenosine monophosphate	adenosine monophosphate
548	substrate	carbamoylphosphate	carbamoylphosphate
549	substrate	aspartate	aspartate
550	substrate	dihydroorotate	dihydroorotate
551	substrate	orotate	orotate
552	substrate	UMP	UMP
553	substrate	CTP	CTP
554	enzyme	quinone oxidoreductase	quinone oxidoreductase
555	enzyme	furfural reductase	furfural reductase
556	microbiome	Clostridium ramosum	Clostridium ramosum
557	enzyme	flagellin	flagellin
558	enzyme	formate dehydrogenase H	formate dehydrogenase H
559	enzyme	formate dehydrogenase H U140C	formate dehydrogenase H U140C
560	substrate	CO2	CO2
561	enzyme	xanthine dehydrogenase	xanthine dehydrogenase
562	enzyme	Hap4p	Hap4p
563	microbiome	Oenococcus oeni	Oenococcus oeni
564	enzyme	hsp18	hsp18
565	enzyme	trxA	trxA
566	enzyme	grpE	grpE
567	enzyme	groES	groES
568	enzyme	trhD	trhD
569	enzyme	amt	amt
570	enzyme	DDCarb	DDCarb
571	enzyme	RS03525	RS03525
572	enzyme	clpP	clpP
573	enzyme	ddl	ddl
574	enzyme	ppk	ppk
575	enzyme	RS06010	RS06010
