relationship_id	type	start_id	end_id	properties	file_name
12	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""fructose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
13	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""mannose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
14	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""N-acetylglucosamine"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
15	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""trehalose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
16	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""D-xylose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
17	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""D-arabinitol"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
18	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""mannitol"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
19	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""cellobiose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
20	produce	3	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""gentiobiose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	le_crom-2009-tracking_the_roots_of_cellulase_h.yml
21	produce	11	12	"{""temperature"": null, ""ph"": null, ""substrate"": ""acetic acid"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.13345%2fj.cjb.170476.yml
22	produce	11	12	"{""temperature"": null, ""ph"": null, ""substrate"": ""furfural"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.13345%2fj.cjb.170476.yml
23	produce	11	12	"{""temperature"": null, ""ph"": null, ""substrate"": ""vanillin"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.13345%2fj.cjb.170476.yml
24	catalysis	12	13	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""10 g/L"", ""substrate"": null}"	10.13345%2fj.cjb.170476.yml
25	catalysis	12	14	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""3 g/L"", ""substrate"": null}"	10.13345%2fj.cjb.170476.yml
26	catalysis	12	15	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": ""2 g/L"", ""substrate"": null}"	10.13345%2fj.cjb.170476.yml
27	produce	16	17	"{""temperature"": ""45°C"", ""ph"": ""4.0"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""alkali-pretreated poplar fiber"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
28	produce	16	2	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""alkali-pretreated poplar fiber"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
29	produce	16	18	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""alkali-pretreated poplar fiber"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
30	produce	16	19	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": ""alkali-pretreated poplar fiber"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
31	catalysis	17	20	"{""ph"": ""4.0"", ""temperature"": ""45°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""maximum"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
32	catalysis	2	21	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
33	catalysis	18	21	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
34	catalysis	19	20	"{""ph"": null, ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	zhong-2024-expression_of_cellobiose_dehydrogen.yml
35	produce	22	23	"{""temperature"": ""50°C"", ""ph"": ""8.0"", ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1002%2fbit.24891.yml
36	produce	3	24	"{""temperature"": null, ""ph"": null, ""substrate"": ""lactose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1016%2fj.jbiotec.2016.11.003.yml
37	produce	3	24	"{""temperature"": null, ""ph"": null, ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	10.1016%2fj.jbiotec.2016.11.003.yml
38	catalysis	24	25	"{""ph"": null, ""temperature"": ""53 W/m² blue light"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	10.1016%2fj.jbiotec.2016.11.003.yml
39	catalysis	24	4	"{""ph"": null, ""temperature"": ""53 W/m² blue light"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	10.1016%2fj.jbiotec.2016.11.003.yml
40	produce	26	27	"{""temperature"": null, ""ph"": ""8.0"", ""substrate"": null, ""incubation_period"": ""96 h"", ""medium"": null, ""moisture"": null, ""carbon_source"": ""maltose"", ""nitrogen_source"": ""beef extract"", ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""optimum"", ""quantitative_value"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
41	produce	26	27	"{""temperature"": null, ""ph"": ""8.0"", ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
42	produce	26	27	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": ""maltose"", ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
43	produce	26	27	"{""temperature"": null, ""ph"": null, ""substrate"": null, ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": ""beef extract"", ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
44	catalysis	27	28	"{""ph"": ""8.0"", ""temperature"": ""60°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""maximum"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
45	catalysis	27	28	"{""ph"": null, ""temperature"": null, ""ions"": ""Mn²⁺"", ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
46	catalysis	27	28	"{""ph"": null, ""temperature"": null, ""ions"": ""Mg²⁺"", ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
47	catalysis	27	28	"{""ph"": null, ""temperature"": null, ""ions"": ""Zn²⁺"", ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
48	catalysis	27	28	"{""ph"": null, ""temperature"": null, ""ions"": ""Ca²⁺"", ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vijayaraghavan-2013-thermostable_alkaline_phyt.yml
49	produce	29	30	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
50	produce	29	31	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
51	produce	29	32	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
52	produce	29	33	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
53	produce	29	34	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
54	produce	29	35	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
55	produce	29	36	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
56	produce	29	37	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
57	produce	29	38	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
58	produce	29	39	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
59	produce	29	40	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
60	produce	29	41	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
61	produce	29	42	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
62	produce	29	43	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
63	produce	29	44	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
64	produce	29	45	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
65	produce	29	46	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""decrease"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
66	produce	29	47	"{""temperature"": null, ""ph"": ""5.5"", ""substrate"": null, ""incubation_period"": null, ""medium"": ""rich medium"", ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
67	catalysis	30	48	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
68	catalysis	31	48	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
69	catalysis	32	49	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
70	catalysis	33	49	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
71	catalysis	34	50	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
72	catalysis	35	50	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
73	catalysis	36	50	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
74	catalysis	37	50	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
75	catalysis	38	51	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
76	catalysis	39	52	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
77	catalysis	40	53	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
78	catalysis	41	54	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
79	catalysis	42	55	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
80	catalysis	43	56	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
81	catalysis	44	57	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
82	catalysis	45	58	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
83	catalysis	46	48	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""inhibit"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
84	catalysis	47	59	"{""ph"": ""5.5"", ""temperature"": null, ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	vido-2004-proteome_analyses_of_heme-dependent.yml
85	produce	22	60	"{""temperature"": ""50°C"", ""ph"": ""8.0"", ""substrate"": ""glucose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""increase"", ""quantitative_value"": null}"	fernandez-sando-2019-xylose-glucose_co-ferment.yml
86	produce	22	60	"{""temperature"": ""37°C"", ""ph"": ""7.0"", ""substrate"": ""xylose"", ""incubation_period"": null, ""medium"": null, ""moisture"": null, ""carbon_source"": null, ""nitrogen_source"": null, ""aeration"": null, ""agitation"": null, ""volume"": null, ""effect"": ""optimum"", ""quantitative_value"": null}"	fernandez-sando-2019-xylose-glucose_co-ferment.yml
87	catalysis	60	4	"{""ph"": ""7.0"", ""temperature"": ""37°C"", ""ions"": null, ""surfactants"": null, ""chemicals"": null, ""effect"": ""enhance"", ""quantitative_value"": null, ""substrate_concentration"": null, ""substrate"": null}"	fernandez-sando-2019-xylose-glucose_co-ferment.yml
